epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,train_auc,valid_auc,learning_rate
1,0.017234126032697205,0.007224619051859491,0.9773413626814362,0.9948127587932839,0.9971067990938267,0.918461993256235,9.757729755661011e-05
2,0.003830933826724116,0.006484565572893975,0.995834129106188,0.9979827395307215,0.9998037959602084,0.9082852110079006,9.05463412215599e-05
3,0.002447012823541858,0.009705531868003329,0.9976186497326203,0.9983467564575086,0.9999045870144856,0.8292486054353215,7.959536998847742e-05
4,0.0016086748053737087,0.007972517199672695,0.9982065269289534,0.9982709195977613,0.9999642952716293,0.8806787860907579,6.57963412215599e-05
